Cliente,Avg Vigencia,#Recargas,$Recargas,Avg_Recargas,10,20,30,50,100,150,200,300,500,1000,sum_WA,sum_IG,sum_Otros,sum_SP,sum_FB,sum_TW,sum_MS,avg_WA,avg_IG,avg_Otros,avg_SP,avg_FB,avg_TW,avg_MS
AA00001,1.2,10,130,13,8,1,1,0,0,0,0,0,0,0,520038.93,3539.12,3146795.69,9698.95,209901.45,0,0,260019.465,3539.12,1048931.897,3232.983333,209901.45,0,0
AA00002,1.333333333,6,100,16.66666667,3,2,1,0,0,0,0,0,0,0,260045.92,10375.85,629958.08,9753.81,0,0,0,260045.92,3458.616667,629958.08,9753.81,0,0,0
AA00003,1,5,70,14,3,2,0,0,0,0,0,0,0,0,780101.38,3863.16,0,0,209781.87,0,0,260033.7933,3863.16,0,0,209781.87,0,0
AA00004,1,5,60,12,4,1,0,0,0,0,0,0,0,0,0,0,1259160,0,419518.61,3445.17,0,0,0,629580,0,209759.305,3445.17,0
AA00005,1.333333333,6,90,15,4,1,1,0,0,0,0,0,0,0,1300023.46,4015.14,629295.12,0,0,0,13862.66,433341.1533,4015.14,629295.12,0,0,0,13862.66
AA00006,1.333333333,12,210,17.5,5,5,2,0,0,0,0,0,0,0,260016.07,19320.17,629796.09,9687.31,419806.78,13683.85,0,260016.07,6440.056667,629796.09,3229.103333,209903.39,6841.925,0
AA00007,1.4,5,70,14,4,0,1,0,0,0,0,0,0,0,260037.03,4120.59,0,12855.51,0,0,13537.18,260037.03,4120.59,0,6427.755,0,0,13537.18
AA00008,1,4,50,12.5,3,1,0,0,0,0,0,0,0,0,0,0,0,3210.1,0,3451.4,27762.05,0,0,0,3210.1,0,3451.4,13881.025
AA00009,1.5,4,70,17.5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,209814.55,6830.05,41871.29,0,0,0,0,209814.55,3415.025,41871.29
AA00010,1.5,8,140,17.5,4,2,2,0,0,0,0,0,0,0,0,11907.6,1258473.63,0,0,16779.77,27577.62,0,11907.6,629236.815,0,0,5593.256667,13788.81
AA00011,1.666666667,3,50,16.66666667,2,0,1,0,0,0,0,0,0,0,0,3470.63,0,0,629467.08,3434.74,0,0,3470.63,0,0,629467.08,3434.74,0
AA00012,1.25,8,110,13.75,6,1,1,0,0,0,0,0,0,0,520076.79,0,0,6486.3,419584.15,13663.25,0,260038.395,0,0,3243.15,209792.075,6831.625,0
AA00013,1.5,4,70,17.5,2,1,1,0,0,0,0,0,0,0,0,3634.78,0,12661.5,0,3351.17,0,0,3634.78,0,6330.75,0,3351.17,0
AA00014,1.2,10,170,17,4,5,1,0,0,0,0,0,0,0,520063.36,11307.95,0,6448.79,629970.31,3459.05,13724.28,260031.68,3769.316667,0,3224.395,629970.31,3459.05,13724.28
AA00015,1.4,5,70,14,4,0,1,0,0,0,0,0,0,0,1040109.26,4088.57,629855.41,0,0,0,13473.2,520054.63,4088.57,629855.41,0,0,0,13473.2
AA00016,1.333333333,6,90,15,4,1,1,0,0,0,0,0,0,0,260036.72,3795.32,629660.76,0,419946.74,0,40563.85,260036.72,3795.32,629660.76,0,209973.37,0,40563.85
AA00017,1.4,5,70,14,4,0,1,0,0,0,0,0,0,0,260041.04,16111.42,629366.86,0,0,0,13500.12,260041.04,8055.71,629366.86,0,0,0,13500.12
AA00018,1.5,8,130,16.25,5,1,2,0,0,0,0,0,0,0,0,4108.29,1889685.19,9729.7,839398.15,0,13766.11,0,4108.29,1889685.19,3243.233333,419699.075,0,13766.11
