Calle,Codigo,Colonia,Municipio_Delegacion,Ciudad,Estado,Latitud,Longitud,Clientes
Avenida Santa Fe,36251,*Hierba Buena,Guanajuato,Guanajuato,Guanajuato,20.96107597,-101.2843735,2269
Paseos De San Joaquin,36593,*San Joaquin,Irapuato,Irapuato,Guanajuato,20.64030825,-101.3367929,2346
Calle Nicolas Bravo,23000,*Zona Central,La Paz,La Paz,Baja California Sur,24.1574533,-110.31703,812
Av. Constitucion,87493,*San Jeronimo Residencial,Matamoros,Matamoros,Tamaulipas,25.8286417,-97.43687242,847
Blvd. Fernando Gutierrez Barrios,95300,Tres Valles Centro,Tres Valles,Tres Valles,Veracruz de Ignacio de la Llave,18.23748966,-96.13666795,2504
Miguel Tamayo Espinoza De Los Monteros,80107,*Country Iii Rios,Culiacan,Culiacan,Sinaloa,24.79079998,-107.4439051,890
"Av. Paseos Del Alamo, C-Ii, Mzna. Xv",42995,*Paseos De La Pradera,Atotonilco De Tula,Atotonilco De Tula,Hidalgo,19.89297469,-99.23451522,2550
Miguel Nieto,64440,*Industrial,Monterrey,Monterrey,Nuevo León,25.69172251,-100.3265249,961
Almandino,37295,*Villas De La Luz,Leon,Leon,Guanajuato,21.0958,-101.5813,2289
Calzada Del Pedregal,27054,*Pedregal Del Valle,Torreon,Torreon,Coahuila de Zaragoza,25.54995513,-103.3549441,897
Carr. Huehuetoca Apaxco,54687,*Barranca Prieta,Huehuetoca,Huehuetoca,México,19.86045765,-99.21348629,3404
Juan Escutia,91027,Acueducto,Xalapa,Xalapa Enriquez,Veracruz de Ignacio de la Llave,19.57577566,-96.92682817,2602
Washington,91919,Reforma,Veracruz,Veracruz,Veracruz de Ignacio de la Llave,19.17385843,-96.12010008,2543
Carr.Tuxpan Tampico Km 124+269.5-A,92080,Ozuluama De Mascareñas,Ozuluama,Ozuluama,Veracruz de Ignacio de la Llave,21.7981573,-97.77270558,2661
Matamoros,92080,Ozuluama De Mascareñas,Ozuluama,Ozuluama,Veracruz de Ignacio de la Llave,21.65991762,-97.85018057,2703
23-A Diag,97143,Itzimna 108,Merida,Merida,Yucatán,20.99742879,-89.57410398,2106
Dr Carlos Canseco,89190,Del Pueblo,Tampico,Tampico,Tamaulipas,22.22355655,-97.85856125,882
Magisterial,98085,El Orito,Zacatecas,Zacatecas,Zacatecas,22.75116143,-102.6112816,1952
José Ma. Mendoza,83178,*El Sahuaro,Hermosillo,Hermosillo,Sonora,29.10262529,-111.006509,545
Av.Ferrocarriles Nacionales,37353,*El Faro,Leon,Leon,Guanajuato,21.1286216,-101.7215767,2305
Altapalmira,98000,Zacatecas Centro,Zacatecas,Zacatecas,Zacatecas,22.77435389,-102.5658987,2078
79,97115,Montes De Ame,Merida,Merida,Yucatán,21.02882996,-89.6182815,2163
Carretera Mérida Motul,97305,Cholul,Merida,Merida,Yucatán,21.03302553,-89.55506842,2115
20 De Noviembre,92035,Anahuac,Pueblo Viejo,Pueblo Viejo,Veracruz de Ignacio de la Llave,22.20804661,-97.8611097,2521
Carretera A Islas Agrarias,21395,*Villa Toledo,Mexicali,Mexicali,Baja California,32.61379212,-115.3651115,758
Punta La Angostura Esq. Con Av. Punta Alamillo,31385,*Punta Oriente,Chihuahua,Chihuahua,Chihuahua,28.66201641,-105.9449113,1332
Avenida Guadalupe Victoria,63000,*Centro,Tepic,Tepic,Nayarit,21.51480417,-104.8894105,1644
Av. Hidalgo,55650,*Santiago Tequixquiac Centro,Tequixquiac,Tequixquiac,México,19.91130449,-99.14528695,3576
Avenida Principal,96536,*Brisas Del Golfo,Coatzacoalcos,Coatzacoalcos,Veracruz de Ignacio de la Llave,18.13453962,-94.49094112,2607
Castillo Del Monzon,45680,*Parques Del Castillo,El Salto,El Salto,Jalisco,20.52193096,-103.243327,1811
Paseo San Isidro,32575,*Parajes De San Isidro,Juarez,Ciudad Juarez,Chihuahua,31.59021278,-106.3426133,1220
Blvd. Centenario,84093,*Mesa Del Sur,Nogales,Nogales,Sonora,31.16040561,-110.971568,524
Carretera Guadalajara-Chapala Km 15+500,45645,*Los Laureles,Tlajomulco De Zuniga,Tlajomulco De Zuniga,Jalisco,20.49764505,-103.2777824,1903
"Av. Saucillo, Lote F, Mzna 79",42186,*El Saucillo,Mineral De La Reforma,Mineral De La Reforma,Hidalgo,20.06607235,-98.7353263,2476
Jaime Torres Bodet,44987,*Jardin Del Sauz,Guadalajara,Guadalajara,Jalisco,20.62636179,-103.3989652,1997
Calzada Heroica Puebla,21620,*Angeles De Puebla,Mexicali,Mexicali,Baja California,32.56240384,-115.3379821,812
Siempre Viva,22263,*Lomas De San Pedro,Tijuana,Tijuana,Baja California,32.52769176,-117.0059468,789
Libramiento Noreste,66023,*Arco Vial,Garcia,Garcia,Nuevo León,25.72272894,-100.5392114,1045
Avenida Sol Nuevo,63724,*Rincon De Guayabitos,Compostela,Compostela,Nayarit,21.02398172,-105.2675558,1781
Av. De La Cima,34204,*Fstse,Durango,Durango,Durango,24.04990815,-104.6253227,1562
Blvr Del Lago,55883,*Real Del Valle 1A Seccion,Acolman,Acolman,México,19.60615289,-98.97338392,3541
Calzada Gonzalez Gallo,44890,*El Rosario,Guadalajara,Guadalajara,Jalisco,20.63568049,-103.3263428,1923
Ave. Mision San Pablo,66649,*Mision San Pablo,Apodaca,Apodaca,Nuevo León,25.73926647,-100.1443138,941
Luis Donaldo Colosio Murrieta,83970,*Centro,Pitiquito,Pitiquito,Sonora,30.67526018,-112.0541895,649
20 De Noviembre,68310,*La Piragua,San Juan Bautista Tuxtepec,San Juan Bautista Tuxtepec,Oaxaca,18.0836217,-96.13137224,7452
Carretera A Puerto Madero,30798,*Olimpia,Tapachula,Tapachula,Chiapas,14.86501906,-92.29231143,4336
Av. De Los Pajaritos,87086,*Barrio De Los Pajaritos,Victoria,Victoria,Tamaulipas,23.75407198,-99.10650683,813
Av.127,77500,*Zona Hotelera,Benito Juarez,Cancun,Quintana Roo,21.12044152,-86.87401401,1038
Guerrero,98600,Guadalupe Centro,Guadalupe,Guadalupe,Zacatecas,22.75333637,-102.5109659,2079
