Red_Social,Download,Upload
MS,56.93,69.22
IG,63.51,90.12
Otros,8.26,55.89
SP,74.52,7.29
MS,17.22,83.32
IG,44.31,98.03
Otros,50.05,59.23
TW,92.76,45.16
IG,64.77,12.89
IG,80.99,53.89
TW,61.38,68.42
TW,68.32,21.78
FB,2.58,27.55
Otros,9.33,60.14
FB,45.56,62.36
WA,32.94,15.23
SP,8.59,6.37
MS,46.07,57.54
SP,74.6,78.96
MS,2.01,9
FB,34.92,38.1
WA,31.82,82.16
Otros,5.44,92.43
FB,79.28,95.56
MS,91.65,18.96
MS,5.18,70.32
FB,40.54,99.01
FB,46.05,17.03
FB,36.54,45.82
FB,27.17,67.89
IG,56.28,18.49
IG,10.74,96.18
Otros,63.41,45.93
WA,9.42,15.54
WA,24.77,39.71
Otros,66.49,79.77
IG,63.27,94.15
WA,38.07,7.78
Otros,93.9,87.93
FB,84,78.65
Otros,47.26,41.58
WA,40.19,37.29
IG,43.43,47.07
TW,10.09,10.61
WA,31.08,44.55
WA,63.19,52.87
IG,43.86,4.77
WA,83.45,46.1
TW,12.53,55.83
Otros,29.6,24.52
Otros,78.3,92.04
MS,15.06,34.07
Otros,16.62,31.53
WA,30.74,1.4
MS,55.1,94.83
IG,68.73,16.28
TW,31.52,7.77
FB,89.26,33.21
WA,59.38,68.77
MS,3.81,16.37
Otros,21.03,81.21
WA,1.02,24.33
TW,64.24,11.11
IG,30,25.56
MS,25.6,52.66
MS,20.97,89.53
MS,73.01,59.28
SP,39.75,92.41
FB,15.1,31.56
Otros,5.73,29.45
IG,13.32,27.66
MS,32.98,31.29
SP,13.63,26.29
FB,38.66,1.01
TW,59.89,7.44
Otros,69.24,11.2
WA,54.8,65.58
MS,83.64,81.1
MS,12.29,32.61
TW,65.53,21.6
SP,72.83,53.27
SP,77.66,68.79
TW,11.76,48.41
FB,78.48,55.95
FB,67.5,69.65
TW,5.76,89.78
WA,32.12,72.47
Otros,10.1,27.51
SP,22.26,2.24
TW,4.55,71.17
TW,11.58,21.08
Otros,52.41,23.07
Otros,62.29,2.69
SP,42.97,58.37
MS,35.6,89.73
Otros,24.72,6.27
IG,4.22,80.85
TW,77.91,31.56
WA,41.19,23.14
WA,1.29,86.06
MS,86.69,6.32
SP,20.39,33.37
WA,38.89,91.82
SP,63.45,50.76
WA,85.19,24.9
Otros,51.94,32
FB,35.56,75
FB,23.28,46.45
WA,29.71,46.02
MS,24.01,87.71
MS,83.77,60.03
IG,83.78,86.44
MS,2.23,38.65
FB,68.33,33.11
MS,79.42,20.84
TW,58.74,1
TW,28.36,14.54
TW,88.59,75.4
MS,82.68,66.16
WA,34.66,94.34
WA,84.4,36.33
WA,10.26,96.49
SP,1.5,6.02
SP,62.76,70.81
SP,67.05,71.91
IG,9.66,10.57
Otros,61.25,4.93
FB,32.65,78.43
IG,85.25,6.66
IG,67.65,43.02
IG,85.63,8.5
SP,23.25,62.74
SP,29.45,95.07
IG,40.75,84.9
TW,38.27,33.63
TW,72.67,74.93
FB,34.75,32.76
WA,35.52,75.01
WA,38.31,85.6
WA,67.74,7.49
IG,13.01,20.22
SP,6.79,22.83
SP,68.72,20.31
FB,47.89,49.81
IG,72.89,34.12
SP,90.35,49.17
MS,77.67,64.47
TW,24.53,56
SP,87.43,10.9
IG,52.49,68.57
MS,31.45,49.36
IG,87.88,99.69
WA,58.21,72.25
Otros,34.57,91.74
IG,90.45,89.19
MS,80.62,5.99
MS,96.31,29.55
SP,81.14,50.58
MS,57.95,58.83
WA,0.38,75.52
IG,1.96,21.46
SP,74.51,25.05
SP,73.8,12.42
MS,96.96,38.21
SP,16.85,60.08
MS,10.16,5.68
TW,75.16,65.44
MS,71.69,89.9
IG,72.86,95.25
IG,78.37,59.13
SP,36.83,61.38
FB,5.16,31.73
IG,0.71,93.66
MS,34.03,56.95
MS,46.93,88.53
IG,24.69,14.16
Otros,58.01,41.23
FB,84.62,98.06
TW,88.89,98.76
TW,30.4,96.53
TW,89.79,20.25
Otros,87.31,13.64
TW,9.9,7.61
FB,93.88,2.03
IG,72.96,82.56
Otros,42.29,11.96
TW,98.17,15.6
SP,75.14,26.81
IG,72.14,61.28
MS,47.04,1.13
WA,49.19,54.03
IG,70.74,37.48
MS,26.31,77.86
SP,64.27,35.26
MS,31.42,77.95
FB,91.33,82.64
MS,16.16,12.22
SP,9.44,69.66
Otros,66.42,91.19
IG,3.59,60.95
TW,21.48,1.51
TW,54.23,74.67
MS,3.52,69.42
TW,70.73,68
WA,48.67,25.95
FB,15.42,54.82
IG,52.64,14.72
SP,76.14,48.3
SP,94.84,31.85
IG,89.91,86.16
IG,41.08,55.22
SP,43.82,8.33
Otros,22.67,72.91
WA,17,65.68
TW,37.47,86.28
FB,60.53,48.11
SP,31.49,37.37
FB,65.16,39.18
TW,11.14,87.86
IG,92.36,46.58
WA,12.66,93.12
MS,85.93,98.47
MS,80.31,72.6
MS,5.51,86.26
SP,20.66,12.01
Otros,2.72,27.87
WA,77.47,13.53
IG,33.18,11.9
MS,5.5,77.09
FB,78.7,90.79
FB,46.48,89.16
FB,0.71,77.04
Otros,34.65,52.68
Otros,18.72,40.92
MS,92.86,56.42
TW,14.44,72.62
FB,6.39,4.11
IG,19.26,29.19
Otros,98.62,48.3
TW,42.99,36.29
Otros,44.15,46.85
WA,28.49,67.92
MS,10.13,93.47
MS,87.88,4.35
TW,31.76,55.09
MS,78.81,93.88
