Fecha,FB,WA,TW,IG,SP,MS,Otros
01/01/2022,33468,219126,528,9193,4346,19606,0
02/01/2022,12344,58432,628,1671,1501,18088,0
03/01/2022,74916,67461,781,2877,1996,16193,372766
04/01/2022,57234,271746,1266,15184,5182,15760,117775
05/01/2022,68006,332252,2488,20626,8687,15632,137180
06/01/2022,31857,262787,4444,25821,11174,15179,0
07/01/2022,83948,328214,6244,28023,12833,16608,242440
08/01/2022,40525,303669,8611,30671,16135,16424,0
09/01/2022,54839,296097,8242,11599,17128,16111,0
10/01/2022,76579,93896,6430,0,12476,15699,292394
11/01/2022,61039,368379,6374,44678,24288,17396,134942
12/01/2022,76354,361719,13235,44187,27772,17797,179125
13/01/2022,72473,308221,18677,43523,33360,20972,159161
14/01/2022,118352,329371,22220,0,39080,23614,162508
15/01/2022,20729,324580,25733,91406,49745,26949,0
16/01/2022,72232,278129,25479,19132,43592,28977,0
17/01/2022,91879,102169,20998,17101,25700,30457,331467
18/01/2022,142165,464769,32342,0,36398,30959,94472
19/01/2022,70582,436167,41478,109895,54942,33571,157941
20/01/2022,167171,426943,46178,0,56883,38508,157447
21/01/2022,83011,400851,49845,100279,59470,49127,141095
22/01/2022,146943,389320,54411,0,54696,56767,0
23/01/2022,67488,301614,49983,72240,51936,62695,0
24/01/2022,122123,108481,44839,17938,30109,64533,305432
25/01/2022,157148,502507,62614,44902,44496,67219,114877
26/01/2022,197590,427136,71597,0,49601,74072,133553
27/01/2022,161934,392617,79012,48627,50044,88105,130888
28/01/2022,118539,353503,81788,94265,40331,97284,118922
29/01/2022,143628,332398,84889,42582,35756,112302,0
30/01/2022,145800,249448,78106,13926,27918,120324,0
31/01/2022,128462,86376,60959,12521,15132,123033,182123
01/02/2022,162011,413177,81688,43099,0,124693,77873
02/02/2022,208901,315363,94886,0,46613,141005,86222
03/02/2022,174349,274352,104442,42181,22542,154643,74368
04/02/2022,121159,241049,98177,78178,22597,166957,0
05/02/2022,158040,214542,102275,35243,18008,175979,0
06/02/2022,154496,155439,89986,10234,14191,178616,0
07/02/2022,141919,46001,68004,9242,9406,170532,195755
08/02/2022,188570,235267,101184,6343,11651,164097,43831
09/02/2022,136304,0,97799,24898,13091,181791,62839
10/02/2022,215533,333226,99723,0,13564,195293,53055
11/02/2022,152237,131376,98349,34261,13693,202211,49004
12/02/2022,87090,118611,68433,57583,10859,201955,0
13/02/2022,139058,86562,77435,0,9927,195813,0
14/02/2022,109083,26475,60110,8854,4032,178785,68706
15/02/2022,126134,0,84195,7831,7077,165139,34380
16/02/2022,146739,240988,90930,44303,9520,177823,37108
17/02/2022,145413,92446,95180,21565,8656,178725,34213
18/02/2022,151991,82639,87698,0,6787,178016,30615
19/02/2022,104469,76552,81519,41306,9236,176924,0
20/02/2022,117385,59003,71494,5714,5021,168399,0
21/02/2022,96848,17195,51909,0,1887,149866,48778
22/02/2022,119772,97382,69617,4832,2984,132912,22193
23/02/2022,102867,66833,80351,36980,3012,135885,33912
24/02/2022,95571,66805,61222,18252,2183,131249,35892
25/02/2022,98574,58138,65640,15638,2567,121920,27527
26/02/2022,102796,53623,72148,13459,3762,121647,0
27/02/2022,98225,42600,63696,3519,3860,114610,0
28/02/2022,77541,13483,51092,2524,996,105745,0
01/03/2022,104652,79794,65368,13115,1461,96092,58561
02/03/2022,113794,57697,72600,0,1883,96180,18803
03/03/2022,101234,60282,70268,12342,1880,91934,23140
04/03/2022,93893,57789,63687,10558,2020,88130,22400
05/03/2022,89514,53678,63591,9748,1436,85575,0
06/03/2022,75139,45328,54033,10593,1609,78632,0
07/03/2022,62285,14496,37002,1684,489,72136,35997
08/03/2022,85923,93050,53938,8939,901,65569,23149
09/03/2022,92520,69190,63867,8385,1065,57787,21936
10/03/2022,89473,74818,61063,7878,1071,50284,22615
11/03/2022,89579,72399,55986,0,3612,49710,19849
12/03/2022,72736,70524,55226,13765,1039,47096,0
13/03/2022,75739,59036,50947,1191,770,43951,0
14/03/2022,47341,22158,32359,1018,346,40120,0
15/03/2022,90993,116618,50935,0,646,36080,36066
